a,a:一|d:一道
a doomed petition,n:与虎谋皮
a double wall,n:夹层墙
a double-edged remark,n:一语双关
a double-edged sword,n:宝剑
a downright lie,n:弥天大谎
a dozen,"a:一打,十几个,十来个"
a draft,n:汇单
a dramatic piece,n:出
a draw,n:和棋
a dressed-up beast,n:衣冠禽兽
a drum-shaped rattle,"n:拨浪鼓,波浪鼓"
a drunkard's nose,n:酒糟鼻
a dumb person,"n:哑巴,哑子"
a factory weekday,n:厂礼拜
a fait accompli,n:既成事实
a false peace,n:粉饰太平
a false tale,n:无稽之谈
a famous artist,n:名手
a famous player,n:名手
a fantastic garb,n:奇装异服
a fantastic tale,n:海外奇谈
a far-flung network,n:天罗地网
a farm village,n:农庄
a fastidious person,n:刺儿头
a fatal disaster,n:杀身之祸
a fatal position,n:死地
a favourable position,n:近水楼台
a favourable turn,n:转机
a feeble constitution,n:先天不足
a fellow student,n:学长
a female companion,n:女伴
a female deity,n:圣母
a fertile land,n:沃野
a fertile region,n:鱼米之乡
a few,"a:些,两,某些,一点,零星,数,少量,些个,一星半点,些许"
a few more,n:一些
a field ditch,n:畎
a fierce battle,n:枪林弹雨
a fierce competition,n:龙争虎斗
a fig for,n:无用
a fine distinction,n:细别
a firm hold,n:立足之地
a fishy story,n:无稽之谈
a fit,n:一气
a fit of,n:一时
a fix idea,n:一定之规
a fixed gaze,n:目不转睛
a fixed number,n:额数
a fixed pattern,n:一定之规
a flash,n:一瞬
a flash of,n:一道
a folk dance,n:跑旱船
a fond dream,"n:南柯一梦,一枕黄梁"
a fool,n:愚人
a fool of,n:愚弄
a fool's paradise,n:痴人说梦
a fool's talk,n:痴人说梦
a football,n:鞠
a fop,n:翩翩少年
a forbidding place,n:龙潭虎穴
a forced smile,n:似笑非笑
a foreign country,n:异邦
a forked road,n:岔
a form word,n:发语词
a fortified building,n:坞
a fortiori,"n:更加,何况"
a fraction,n:厘
a fractional amount,"n:畸,奇,奇零"
a fragrant plant,n:芭
a frail scholar,n:文弱书生
a free wind,n:顺风
a freebooting hero,n:草莽英雄
a fried dish,n:炒菜
a fruitless attempt,"n:劳而无功,海底捞月"
a full house,n:客满
a full month,n:期
a full year,n:期
a full-length drama,n:多幕剧
a full-length shot,n:长镜头
a fund of,n:大量
a gang of,n:帮
a gang of scoundrel,n:狐群狗党
a garrulous person,n:碎嘴子
a general designation,n:统称
a general order,n:通令
a general survey,n:通论
a general term,n:通称
a generalization of,n:集大成
a gentleman's agreement,n:君子协定
a ghastly sight,n:触目惊心
a gifted pen,n:生花之笔
a gilded signboard,n:金字招牌
a gleam of,n:一线
a glimmer of,n:一线
a globe,n:圆球
a glutton,n:酒囊饭袋
a golden harvest,n:五谷丰登
a golden opportunity,n:千载一时
a golden saying,n:金玉良言
a good bit,"n:长期,许久"
a good deal,"n:大量,诸多,好多"
a good few,n:不少
a good hand,"n:一把手,硬手"
a good horse,n:骜
a good journey,n:一路平安
a good many,"n:好多,许多"
a good opportunity,n:春暖花开
a good while,"n:长久,许久"
a good wife,n:贤内助
a good-for-nothing,n:朽木
a good-for-nothing adviser,n:狗头军师
a grade,n:甲级
a grain bin,n:囤
a gramophone,n:留声机
a grassy hill,n:岵
a great accomplishment,n:补天浴日
a great country,n:泱泱大国
a great deal,n:夥
a great disturbance,n:轩然大波
a great fall,n:一落千丈
a great fish,n:鲧
a great insult,n:奇耻大辱
a great many,"n:好多,浩,许多,指不胜屈"
a great personage,n:伟人
a great quantity,n:大量
a great rascal,n:老奸巨猾
a great sin,n:滔天罪行
a green horn,n:初出茅庐
a gross,n:罗
a gross lie,n:弥天大谎
a group army,n:集团军
a group of,n:帮
a gun-shape thing,n:枪
a hairbreadth escape,n:九死一生
a hand,n:一把手
a handful of,"n:一小撮,一把,把,少数"
a handle,n:刀把子
a handout,n:嗟来之食
a handsome son-in-law,n:乘龙快婿
a handwritten copy,n:抄本
a hanging object,n:坠
a happy combination,n:珠联璧合
a happy event,n:快事
a happy gathering,n:欢聚一堂
a happy-go-lucky policy,n:随遇而安
a hard nut,n:难题
a harelipped person,n:豁嘴
a harmful person,n:蠹虫
a hated thing,n:劳什子
a hazardous spot,n:龙潭虎穴
a head of,n:一头
a head-on confrontation,n:迎头痛击
a heady tempest,n:狂风暴雨
a healthy person,n:好人
a heart-shaped pendant,n:鸡心
a heavy downpour,n:倾盆大雨
a heavy rain,n:大雨
a helping hand,n:一臂之力
a high building,n:楼台
a hippy,n:玩世不恭
a hoeing implement,n:耠子
a homeless cur,n:丧家之犬
a honeycomb-like thing,n:蜂窝
a hook-like sword,n:钩
a hopeless case,"n:朽木,死棋"
a horizontal tablet,n:额
a hot-headed person,n:炮筒子
a house-like structure,n:房
a housing estate,n:小区
a huge crowd,n:人海
a huge rock,n:磐石
a huge sum,n:巨额
a humble room,n:陋室
a hundred million,n:亿
a hundred years,n:百年
a hundred-flavor-harden,n:百花园
a jade tablet,n:璋
a jade-like stone,"n:璎,璁,珂"
a janitor's room,n:号房
a jealous look,n:侧目而视
a jerk,n:一动
a jolt,n:一动
a joyful countenance,n:喜逐颜开
a junior officer,n:尉
a just judge,n:青天
a knife wound,n:刀伤
a laborer,n:民夫
a lack of,n:缺乏
a lady writer,n:闺秀
a lame person,n:瘸子
a lane's name,n:尜
a lantern fair,n:灯市
a large amount,n:大宗
a large bell,n:镛
a large mulberry,n:扶桑
a large number,n:大量
a large quantity,n:大宗
a large rope,n:索
a large swan,n:鸿鹄
a later story,n:后话
a latrine rumour,n:无稽之谈
a layman,n:老外
a leading authority,n:泰斗
a lean person,n:瘦子
a left-handed compliment,n:言不由衷
a legendary dragon,n:螭
a letter home,n:家书
a leviathan,n:庞然大物
a life-and-death struggle,"n:殊死战,殊死搏斗"
a lifeless condition,n:一潭死水
a life-saving straw,n:救命稻草
a lifetime,"n:一辈子,一生"
a light boat,n:艇
a limited number,n:有数
a limited view,n:一孔之见
a line,n:一行
a liquid,n:水
a literary eulogy,n:赞
a literary family,n:书香门第
a literary spokesman,n:笔杆子
a literary woman,n:闺秀
a little,"a:一些,一点儿,点,些,有点,稍稍,稍,少许,略微,些小,聊,稍为,有限,些个,些微,零星,一星半点,一星儿"
a little amount,n:少量
a little better,n:好些
a little bit,"n:一点,稍为"
a little girl,n:毛丫头
a little of,"n:一些,一点"
a little over,a:出头|n:冒尖儿
a little rascal,n:跳梁小丑
a little rest,n:小憩
a little room,n:斗室
a little salt,n:盐花
a little while,"d:片刻,顷,一忽儿,少,歇"
a lively atmosphere,n:欣欣向荣
a lively description,n:绘声绘色
a livestock keeper,n:倌
a livid face,n:面如土色
a living corpse,n:槁木死灰
a living hell,n:人间地狱
a living person,n:活人
a local bully,n:地头蛇
a local villain,n:地头蛇
a lone soul,n:形单影只
a lonely horseman,n:匹马单枪
a long distance,n:千里
a long drum,n:长鼓
a long firm,n:皮包公司
a long journey,n:远门
a long spear,"n:槊,铩"
a long time,"n:良久,半天,多时,许久"
a long trek,n:长途跋涉
a long way,n:远路
a long while,n:长久
a long-distance call,n:长话
a long-drawn-out period,n:累月经年
a long-pending case,n:积案
a long-range program,n:百年大计
a long-spending case,n:积案
a loquacious woman,n:长舌妇
a lost situation,n:残局
a lot of,"n:好多,诸多,大量,众"
a love affair,n:风流韵事
a love nest,n:安乐窝
a love song,n:恋歌
a lovers rendezvous,n:幽期
a lovers' rendezvous,n:幽会
a lowly person,n:隶
a lucky day,n:黄道吉日
a lucky man,n:福人
a lump of,n:一块
a lunar year,n:小年
a maimed person,n:残废
a male servant,n:价
a man's body,n:皮囊
a man's father-in-law,n:老丈人
a many-sided person,n:多面手
a margin election,n:差额选举
a marriage contract,n:婚书
a massive rock,n:磐石
a master artisan,n:能工巧匠
a matchless beauty,n:天姿国色
a match-making,n:提亲
a maternity hospital,n:产院
a matter of,n:关于
a meager present,n:薄礼
a mean course,n:中庸之道
a meandering footpath,n:羊肠小道
a mediocre man,n:碌碌庸才
a melee,n:混战
a member,n:一把手
a mercenary friend,n:酒肉朋友
a mere nobody,n:无名小卒
a mere skeleton,"n:空架子,骨瘦如柴"
a middle course,n:中庸之道
a mighty army,n:百万雄师
a mighty ocean,n:汪洋大海
a mighty uproar,n:轩然大波
a military man,n:武夫
a military rank,n:尉
a million millions,n:兆
a millionaire,n:巨富
a ministry councilor,n:员外
a minor success,n:一得之功
a minute,n:片刻
a mirage,n:空中楼阁
a mischief-maker,n:摇唇鼓舌
a miss,n:摆脱
a mixed accent,n:南腔北调
a modicum,n:些许
a moment,"n:片刻,片时,一会儿,一刻,会,少"
a moment ago,"p:刚刚,将才,刚才"
a moment later,"p:少刻,少时"
a momentary slip,n:一念之差
a money order,n:汇单
a money-losing proposition,n:赔钱货
a monolithic bloc,n:铁板一块
a monolithic block,n:铁板一块
a monstrous lie,n:弥天大谎
a more-candidates-than-position election,n:差额选举
a mortal sin,n:罪大恶极
a most,n:非常
a motley crew,n:乌合之众
a motley crowd,"n:良莠不齐,乌合之众"
a mountain chair,n:山轿
a mournful song,n:哀歌
a move,n:一动
a multitude of,n:大批
a narrow escape,n:九死一生
a narrow squeak,n:间不容发
a narrow view,n:一孔之见
a narrow vision,n:目光短浅
a national beauty,n:国色
a national martyr,n:国殇
a near escape,n:九死一生
a near thing,n:险胜
a new aspect,n:面目一新
a new start,n:柳暗花明
a new talent,n:新苗
a new wave,n:新潮
a nobody,n:小人物
a nuisance,n:要命
a number,n:大批
a number of,n:若干
a once-met acquaintance,n:一面之交
a one,n:呱呱叫
a one-sided statement,n:一面之词
a painful topic,n:难言之隐
a paper of,n:板
a part,n:一部分
a particle,n:丝毫
a particle of,"n:少量,一点儿"
a particular year,"n:年份,年间"
a party,n:一方
a passing scene,n:过眼烟云
a patrol,n:游动哨
a peaceful time,n:河清海晏
a peerless beauty,n:绝代佳人
a pendent,n:坠
a penniless vagrant,n:穷光蛋
a pep team,n:拉拉队
a perfect score,n:满分
a perfidious person,n:中山狼
a perilous position,n:险地
a period of,n:阵子
a person's age,"n:年齿,年事"
a person's back,n:项背
a person's handwriting,n:笔迹
a person's silhouette,n:身影
a person's status,n:名分
a person's taste,n:口味
a person's wardrobe,n:行头
a persuasive talker,n:说客
a pestilential atmosphere,n:乌烟瘴气
a petty burglar,n:跳梁小丑
a pheasant's cry,n:咯
a picture copybook,n:画谱
a piebald,n:骓
a piece,n:一块
a pipe dream,"n:白日作梦,痴心妄想,一场春梦"
a pitiful creature,n:可怜虫
a place,n:一角
a plaintive whine,n:哀鸣
a plant,n:内应
a playboy,n:公子哥儿
a plot of,n:一块
a poet,n:骚人墨客
a pole c,n:立竿见影
a poor present,n:区区
a popular song,n:下里巴人
a portion,n:一部分
a portion of,n:一部分
a pouring rain,n:倾盆大雨
a power of,"n:许多,大量"
a powerful army,n:雄兵
a precious deal,n:极其
a precipitate drop,n:一落千丈
a premature death,n:死于非命
a presentation copy,n:赠本
a pressing need,n:燃眉之急
a priceless treasure,n:无价之宝
a priori,a:先天
a private conversation,n:悄悄话
a professional college,n:职大
a profound theory,n:玄机
a prolix style,n:连篇累牍
a promising youth,"n:后起之秀,新苗"
a prosperous scene,n:莺歌燕舞
a protracted war,n:持久战
a proud son-in-law,n:乘龙快婿
a providential escape,n:天幸
a public enemy,n:害群之马
a public notice,n:告白
a public occasion,n:大庭广众
a put-up job,n:骗局
a quantity of,n:许多
a quarter,a:刻
a quarterly,n:季刊
a quick glance,n:一瞥
a quotable quote,n:妙句
a railway policeman,n:乘警
a rare beauty,n:天姿国色
a rare opportunity,n:千载一时
a raw hand,n:老外
a ready tongue,n:脱口而出
a ready-made panacea,n:灵丹妙药
a red color,n:川红
a red-letter day,n:黄道吉日
a red-spotted lizard,n:蚧
a refined scholar,n:雅士
a regrettable thing,n:恨事
a remarried woman,"n:后婚儿,二婚头"
a replacement,n:配件
a résumé,n:提纲挈领
a rice-destroying insect,n:蜮
a rocky heart,n:铁石心肠
a romantic affair,n:风流韵事
a romantic scholar,n:风流人物
a rotten legacy,n:烂摊子
a rough diamond,n:浑金璞玉
a round,n:一发
a row,"n:一行,一条"
a row number,n:排号
a row of,n:一行
a rustic opinion,n:刍议
a ruthless ruler,n:屠夫
a sacrificial wine,n:鬯
a saddle cloth,n:鞯
a sand bar,n:汀
a savage horse,n:烈马
a scanty few,n:寥寥无几
a scar-like mark,n:疤
a scholar,"n:士人,有识之士"
a scholar-gentry family,n:书香门第
a scholarly family,n:书香门第
a sea of,n:大量
a sealed book,n:天书
a seaman,n:弄潮儿
a seat number,n:座号
a second time,"p:再次,再度"
a second wife,n:后妻
a secret order,n:密令
a secure job,n:铁饭碗
a sensible argument,n:通论
a sentence,n:一句话
a set of,n:樘
a set rule,n:一定之规
a set-up,n:班子
a seventy-thirty ratio,n:三七开
a severe pain,n:剧痛
a severe warning,n:当头棒喝
a sexual intercourse,n:春风一度
a shabby gift,n:区区
a shambles,n:烂摊子
a shameless person,n:无耻之徒
a sharp knife,n:白刃
a sharp warning,n:当头棒喝
a sheer hoax,n:欺人之谈
a sheer rock,n:悬崖峭壁
a shell game,n:骗局
a shoal of,"n:大量,许多"
a shocking action,n:惊人之举
a short contract,n:买空卖空
a short cut,"n:近路,捷径"
a short jacket,n:襦
a short journey,n:朝发夕至
a short moment,"n:弹指,半晌"
a short note,n:片纸只字
a short person,n:矮个子
a short while,"n:片刻,一会,片时,一刻"
a shortcut,n:终南捷径
a short-short story,n:小小说
a shred,n:丝毫
a side issue,n:无关大局
a sidelong glance,n:侧目而视
a silly appearance,n:憨态
a silly notion,n:痴心妄想
a silver tongue,"n:能言善辩,能说会道"
a simpleton,n:愚人
a sincere pledge,n:信誓旦旦
a single file,n:一行
a single penny,n:分文
a single person,n:一身
a single skill,n:一技之长
a single spark,n:星星之火
a single word,n:只字
a sitting duck,n:瓮中之鳖
a six-finger hand,n:六指儿
a skilled workman,n:巧匠
a skillful craftsman,n:能工巧匠
a slide tackle,n:铲球
a slip of,n:一条
a small amount,n:零星
a small box,n:匣
a small country,n:小国
a small fellow,"n:小个儿,小个子"
a small gate,n:闺
a small hole,"n:鼻儿,猫耳洞"
a small machine,n:机子
a small number,n:少数
a small pawnshop,n:押当
a small potato,n:小人物
a small room,n:斗室
a small table,n:几
a smart of,n:大批
a sneak attack,n:暗箭
a soldier,n:卒子
a sore subject,n:难言之隐
a sorrowful look,n:形容憔悴
a sound statement,n:不易之论
a space,n:一角
a spanish castle,n:空中楼阁
a spatter of,n:阵
a speck,n:一斑
a spell,"n:阵,一气"
a spineless person,n:软骨头
a spirit tablet,n:神主
a spot,n:一斑
a spot of,n:一点儿
a spring dream,n:一场春梦
a standing dish,n:老生常谈
a standout,n:后起之秀
a starry night,n:星夜
a stately appearance,n:雄风
a steed,n:骜
a steel bulwark,n:钢铁长城
a stingy person,n:铁公鸡
a stinking grass,n:莸
a stone tablet,n:碑
a store of,"n:丰富,充裕"
a storied building,n:楼
a straight play,n:话剧
a strange land,n:异地
a stranger,n:异客
a stream of,n:一道
a string of,"n:一系列,一连串"
a strip of,n:一条
a stripe,n:一斑
a strong spirit,n:二锅头
a strong wind,n:雄风
a stronghold,"n:铜墙铁壁,铁壁铜墙"
a strong-scented herb,n:芸草
a stupendous sum,n:巨款
a stupid move,"n:下策,死棋"
a stupid person,n:二百五
a subtle difference,n:细别
a suckling babe,n:黄口孺子
a sudden illness,n:暴病
a sudden inspiration,n:心血来潮
a sudden rainstorm,n:急风暴雨
a sufficiency of,"n:足够,充足"
a suit,n:一身
a suitable occasion,n:节骨眼
a surefire plan,n:万全之计
a sweetheart,n:心肝宝贝
a taboo,n:禁
a talented person,"n:人材,人才"
a tall building,n:厦
a tall man,n:高人
a tall person,"n:高个子,高个儿,高个"
a tall story,n:海外奇谈
a tattered reputation,n:声名狼藉
a teacher,n:任教
a temple fair,n:会
a temporary expedient,n:权宜之计
a ten-cent piece,n:毛
a tender remonstrance,n:苦口婆心
a tender spot,n:痛处
a testimony,n:口供
a thank-you note,n:谢帖
a thick soup,n:羹
a thick-skinned person,n:老脸
a thick-tongued person,n:大舌头
a thin person,n:瘦子
a thin tube,n:探子
a third party,n:第三者
a thirty-seventy ratio,n:三七开
a thoroughbred horse,n:骥
a thorough-bred horse,n:千里马
a thoroughfare,n:阳关大道
a thousand charms,n:千娇百媚
a thousand li,n:千里
a thousand years,"n:千秋,千岁"
a thread,n:一线
a threadlike thing,n:丝
a thrilling sight,n:热闹
a tigress,n:雌老虎
a ting part,n:一斑
a tiny bit,"a:丝,一丝一毫,一星儿"
a tiny space,n:一席之地
a tiny stream,n:涓
a titan,n:庞然大物
a total failure,n:梦幻泡影
a total stranger,n:素昧平生
a touch of,"n:一点儿,少许"
a townsman,n:同乡
a trace,n:一丝一毫
a train of,n:一系列
a translation,n:译著
a transsexual person,n:阴阳人
a traveler's tale,n:海外奇谈
a treasured sword,n:宝剑
a tree name,n:椐
a tremendous change,n:翻天覆地
a tremendous difference,n:千差万别
a trenchant edge,n:利刃
a tricky question,n:偏题
a trifle,"n:稍,略微"
a trivial matter,n:鸡毛蒜皮
a true remark,n:至理名言
a trying moment,n:鬼门关
a turn,n:番
a unified entity,n:浑然一体
a universal genius,n:通才
a unyielding person,n:硬骨头
a useless effort,n:海底捞月
a vain title,n:金字招牌
a vainglorious title,n:金字招牌
a variety of,"n:各式各样,形形色色"
a veiled abuse,n:指桑骂槐
a versatile person,n:多面手
a vertically-hung scroll,n:条幅
a vicious circle,n:恶性循环
a violent death,n:横死
a waiting trap,n:天罗地网
a waste of,n:浪费
a weak person,n:尿泡
a weak-kneed person,n:软骨头
a weak-kneel person,n:软骨头
a weak-minded person,n:阿斗
a weapon,n:刘
a wee bit,n:一丁点儿
a well rope,n:绠
a well-bred person,n:骥
a well-connected network,n:关系网
a well-founded view,n:持之有故
a well-organized institute,n:壁垒森严
a well-regulated mind,n:胸有成竹
a well-rounded argument,n:通论
a whale of,n:了不起
a white paper,n:蠲
a whole day,n:一天
a wicked monster,n:狼子野心
a widow,n:嫠
a wild scribble,n:狂草
a wild war,n:混战
a windfall,"n:横财,洋财"
a winding path,n:曲径
a windy downpour,n:狂风暴雨
a wine goblet,n:樽
a winged steed,"n:千里马,千里驹"
a woebegone expression,n:愁眉苦脸
a woman's dress,n:连衣裙
a wonderful view,n:光怪陆离
a word,n:一句话
a workers' university,n:职大
a world of,"n:无数,许多"
a worthless creature,n:贱骨头
a worthless fellow,n:狗彘不如
a worthless thing,n:敝屣
a worthy death,n:死得其所
a worthy person,n:贤
a wosbegone look,n:哭丧着脸
a written admonition,n:诰
a yen for,n:希望
a yes-man,n:好好先生
a young couple,n:小两口
a young spark,n:翩翩少年
a young woman,n:娘
a zigzag path,n:羊肠小道
aaron,n:亚伦
aaron's beard,"n:虎耳草,黄栌"
aasvogel,n:秃鹰
aba,"n:毛织物,长袍"
abaca,"n:马尼拉麻,蕉麻"
abaci,n:算盘
abacus,"n:算盘,顶板"
abad,n:城市
abaddon,n:地狱
abaft,"p:后,之后,在_之后,在_后"
abalone,"n:鲍鱼,鲍,鳆"
abandon,v:下马|n:狂热
abandon a baby,v:弃婴
abandon midway,v:半途而废
abandon oneself,v:自暴自弃
abandon oneself to,v:耽
abandon to despair,v:自暴自弃
abandoned,"a:无赖,野"
abandoned grave,n:荒冢
abandoned idea,"n:罢论,罢"
abandoned land,"n:熟荒,熟荒地"
abandoned site,n:废墟
abandoned well,v:废井
abandonment,"n:放弃,断念,放肆,投保"
abase,"v:贬,降低"
abasement,"n:屈辱,失意,败落"
abash,v:羞怯|a:羞怯
abashed,"a:惭愧,羞愧"
abate,"v:减弱,减小,缓和,压低,杀,取消,减,煞,除掉,免税,作废,削弱,制止"
abatement,"n:减少,减轻,废料,折扣,减除,失效,中断,减退"
abatement from penalty,n:减刑
abatement of tax,n:减税
abatis,"n:鹿角,障碍物,鹿砦"
abattis,n:障碍物
abb,n:纬纱
abbazzo,n:初稿
abbe,n:神父
abbey,"n:修道院,修道士"
abbot,"n:方丈,住持"
abbreviate,"v:缩写,节略,删节|a:简略"
abbreviated drawing,n:简图
abbreviation,"n:简称,省略,缩略语|v:省略"
abc,"n:初步,入门,字母表|v:入门"
abdicate,"v:放弃,让,退,让位,逊,弃,辞,废"
abdication,"n:放弃,辞职,让位,弃权"
abdomen,"n:腹腔,肚子"
abdomina,n:腹部|a:腹腔
abdominal distension,"n:胼,腹胀"
abdominal dropsy,n:腹水
abdominal fin,n:腹鳍
abdominal muscle,n:腹肌
abduct,"v:绑架,拐走,拐,拐带,胁持"
abduction,n:劫持
abductor,"n:拐子,诱拐者"
abeam,d:横向
abecedarian,n:初学者
abele,n:银白杨
aberdevine,n:金翅雀
aberrance,n:越轨
aberrant,a:怪人
aberration,"n:错乱,偏差,反常,失常,过失,变型,越轨"
abestrine,n:石棉
abet,"v:教唆,帮助,撮弄,鼓动,唆,主使"
abet an ill-doer,v:助桀为虐
abet one's enemy,v:为虎作伥
abetment,"n:教唆,煽动"
abetter,n:教唆者
abettor,n:教唆者
abevacuation,v:转移
abeyance,n:停止|v:搁置
abhor,"v:疾,嫌弃"
abhorrence,"n:厌恶,憎恶,痛恨,嫌恶"
abidance,"n:继续,遵守"
abide,"v:等待,忍受,继续,保持,守,坚持,容忍,居住,依从"
abide by,"v:循,守"
abide one's destiny,v:听天由命
abigail,n:使女
abilities,n:锋芒
ability,"n:能,才力,力,力量,技能,技法,两下子,材,干才,功夫,伎"
ability to foresee,n:先见之明
ability to speak,n:口齿
ability to walk,n:腿脚
ability to write,n:笔下
abito,n:服装
abject,"a:猥劣,卑怯|n:小人"
abject poverty,n:赤贫
abjection,"v:脱落,放射,脱出|n:卑劣"
abjectly obedient citizens,n:顺民
ablactation,v:断奶
ablation,"n:磨削,脱落,消融"
ablation cone,n:冰锥
ablaze,"d:燃烧,闪耀,着火,激昂|a:熊熊,炽盛"
able,"a:会,能干,干,成,贤|v:能"
able man,"n:一把手,能人"
able person,"n:能人,干才"
able to predict,a:先见之明
able woman,n:女强人
able-bodied man,n:壮丁
able-bodied person,"n:劳动力,劳力"
ablebond,n:环氧树脂
ablings,"d:也许,大概"
ablins,"d:也许,大概"
abloom,"a:盛开,开花"
abluent,n:洗涤剂
ablush,d:脸红
ablution,"n:清洗,洗净"
abnegate,v:克制
abnegation,n:克制
abnormal,"a:异常,反常,变态,乖谬,潦倒,不对|n:畸形"
abnormal fetus,n:怪胎
abnormal shape,n:异型
abnormal state,n:病态
abnormalism,a:反常
abnormality,"n:反常,变态,不规则|a:反常"
abnormally,d:超常
abnormity,"n:异常,反常,不规则,畸形"
abo,n:土著
aboard,"p:上,上面,在_上面,在_上"
abode,"n:住处,住所,寓所,宅邸"
aboil,"d:沸腾,滚"
abolish,"v:消灭,废,废弃,结束,破除"
abolishment,"n:废除,取消"
abolition,"n:废除,废弃,废止"
